titre;categorie;lieux_extraits;date;url
Meurtre d’un chauffeur de taxi à Sidi Hassine : Les tueurs et leurs complices arrêtés;4;Tunis, Tunisie, Sidi Hassine;29/07/2024;https://kapitalis.com/tunisie/2024/07/29/meurtre-dun-chauffeur-de-taxi-a-sidi-hassine-les-tueurs-et-leurs-complices-arretes/
Trafic de drogue à Tunis : Une femme recherchée et son complice arrêtés;1;Tunis, district de la Cité Houas, Cité Houas Ezzahrouni, drogue|Tunis|Tunisie;29/07/2024;https://kapitalis.com/tunisie/2024/07/29/trafic-de-drogue-a-tunis-une-femme-recherchee-et-son-complice-arretes/
Un homme agressé à mort à Sousse : Trois suspects, dont deux mineurs arrêtés;2;Sousse, Sousse 1, Parquet de Sousse;21/07/2024;https://kapitalis.com/tunisie/2024/07/21/un-homme-agresse-a-mort-a-sousse-trois-suspects-dont-deux-mineurs-arretes/
Démantèlement d’un réseau de trafic de drogue opérant entre Le Kef et Kasserine;1;Sbeïtla, Tunisie, Kasserine cannabis|drogue|Kalaat, Kasserine, Kef;17/07/2024;https://kapitalis.com/tunisie/2024/07/17/demantelement-dun-reseau-de-trafic-de-drogue-operant-entre-le-kef-et-kasserine/
Sousse: Saisie de 2 kg de cocaïne chez un étranger;1;Sousse;15/07/2024;https://kapitalis.com/tunisie/2024/07/15/sousse-saisie-de-2-kg-de-cocaine-chez-un-etranger/
Trafic de drogue dans les discothèques : Un réseau démantelé à La Marsa et à Gammarth;1;Tunis, Gammarth, El-Gorjani, département de l’Intérieur, La Marsa;11/07/2024;https://kapitalis.com/tunisie/2024/07/11/trafic-de-drogue-dans-les-discotheques-un-reseau-demantele-a-la-marsa-et-a-gammarth/
France : Enquête suite au meurtre d’un Tunisien, mortellement poignardé à Paris;2;France, Tunisie, 20e arrondissement de, Parquet de Paris, Tunisien, Paris;10/07/2024;https://kapitalis.com/tunisie/2024/07/10/france-enquete-suite-au-meurtre-dun-tunisien-mortellement-poignarde-a-paris/
Tunis : Un dangereux délinquant arrêté à Ibn Sina (DGGN);2;Tunis;10/07/2024;https://kapitalis.com/tunisie/2024/07/10/tunis-un-dangereux-delinquant-arrete-a-ibn-sina-dggn/
Braquage d’une agence bancaire à Sousse : Le «voleur à la chemise rouge» arrêté;3;Sousse;07/07/2024;https://kapitalis.com/tunisie/2024/07/07/braquage-dune-agence-bancaire-a-sousse-le-voleur-a-la-chemise-rouge-arrete/
Métlaoui : La police arrête un délinquant qui avait planifié de tuer son épouse;2;Métlaoui, Gafsa;03/07/2024;https://kapitalis.com/tunisie/2024/07/03/metlaoui-la-police-arrete-un-delinquant-qui-planifiant-de-tuer-son-epouse/
Règlement de comptes à Kasserine : Un individu arrêté pour tentative de meurtre;2;Feriana, Kasserine, gouvernorat de Kasserine;26/06/2024;https://kapitalis.com/tunisie/2024/06/26/reglement-de-comptes-a-kasserine-un-individu-arrete-pour-tentative-de-meurtre/
Moknine : Un dealer arrêté en possession de 8270 comprimés de stupéfiant;1;gouvernorat de Monastir, Moknine;26/06/2024;https://kapitalis.com/tunisie/2024/06/26/moknine-un-dealer-arrete-en-possession-de-8270-comprimes-de-stupefiant/
Féminicide : Nouveau drame à Kairaoun, «Elle s’appelait Intidhar» (Aswat Nissa);2;Féminicide, Etat tunisien, Kairaoun, Kairouan;18/06/2024;https://kapitalis.com/tunisie/2024/06/18/feminicide-nouveau-drame-a-kairaoun-elle-sappelait-intidhar-aswat-nissa/
Douane-Sfax : Deux individus interceptés avec 2800 cachets d’ecstasy et de la cocaïne;1;Tunisiens, Sfax, Douane tunisienne;14/06/2024;https://kapitalis.com/tunisie/2024/06/14/douane-sfax-deux-individus-interceptes-avec-2800-cachets-decstasy-et-de-la-cocaine/
Jendouba : Un conflit sur un héritage se termine par un meurtre;2;Ghardimaou, Jendouba;14/06/2024;https://kapitalis.com/tunisie/2024/06/14/jendouba-un-conflit-sur-un-heritage-se-termine-par-un-meurtre/
La Marsa : Un homme mortellement poignardé par son collègue !;2;Tunis, Marsa, La Marsa;13/06/2024;https://kapitalis.com/tunisie/2024/06/13/la-marsa-un-homme-mortellement-poignarde-par-son-collegue/
Saisie de cocaïne, cannabis et stupéfiants à Boumhal : Six dealers arrêtés;1;Tunis, Boumhal;10/06/2024;https://kapitalis.com/tunisie/2024/06/10/saisie-de-cocaine-cannabis-et-stupefiants-a-boumhal-six-dealers-arretes/
Trafic de cocaïne à Mahdia : Trois dealers arrêtés;1;Mahdia;05/06/2024;https://kapitalis.com/tunisie/2024/06/05/trafic-de-cocaine-a-mahdia-trois-dealers-arretes/
Douane : Saisie de plus de 43.000 comprimés de stupéfiants;1;Prégabaline, Sfax;04/06/2024;https://kapitalis.com/tunisie/2024/06/04/douane-saisie-de-plus-de-43-000-comprimes-de-stupefiants/
Jebel Lahmar : Un takfiriste tue son voisin à coups de couteau;2;Jebel Lahmar, El-Omrane, Jebel;03/06/2024;https://kapitalis.com/tunisie/2024/06/03/jebel-lahmar-un-takfiriste-tue-son-voisin-a-coups-de-couteau/
Raoued : Un délinquant arrêté pour agression et faits de violences;2;Ariana, Raoued, Ariana|délinquant|DGSN|Ghazela|Raoued|Tunisie|violences, Ghazela;01/06/2024;https://kapitalis.com/tunisie/2024/06/01/raoued-un-delinquant-arrete-pour-agression-et-faits-de-violences/
Tunis : Des colis contenant 37.500 comprimés de stupéfiants interceptés par la douane;1;Tunis, Prégabaline;29/05/2024;https://kapitalis.com/tunisie/2024/05/29/tunis-des-colis-contenant-37-500-comprimes-de-stupefiants-interceptes-par-la-douane/
Drame à Bizerte : Un individu tue son père et blesse son frère à coups de couteau;2;Bizerte, Bizerte|crime|homicide|meurtre|police|Tunisie;29/05/2024;https://kapitalis.com/tunisie/2024/05/29/drame-a-bizerte-un-individu-tue-son-pere-et-blesse-son-frere-a-coups-de-couteau/
